Object_ID1,Object_ID2,TTC_Frame,TTC,TTC_5,TTC_10,MTTC_Frame,MTTC,MTTC_5,MTTC_10
8388.0,8396.0,-1.0,-1.0,-1.0,-1,1030.0,3.4533333333333336,3.6800000000000006,-1
8172.0,8551.0,-1.0,-1.0,-1.0,-1,430.0,4.0,4.0,-1
8396.0,8398.0,-1.0,-1.0,-1.0,-1,730.0,2.146666666666667,2.3066666666666666,-1
8396.0,8537.0,-1.0,-1.0,-1.0,-1,874.0,2.0133333333333336,2.7722222222222226,-1
8398.0,8537.0,-1.0,-1.0,-1.0,-1,904.0,3.296666666666667,3.692222222222222,-1
8412.0,8491.0,-1.0,-1.0,-1.0,-1,790.0,3.486666666666667,3.6522222222222225,-1
8412.0,8532.0,-1.0,-1.0,-1.0,-1,1189.0,3.5966666666666667,3.8511111111111114,-1
8412.0,8546.0,-1.0,-1.0,-1.0,-1,754.0,2.9533333333333336,3.036666666666667,-1
8417.0,8467.0,-1.0,-1.0,-1.0,-1,808.0,1.9666666666666666,2.3311111111111114,-1
8417.0,8501.0,-1.0,-1.0,-1.0,-1,799.0,4.0,4.0,-1
8417.0,8632.0,-1.0,-1.0,-1.0,-1,928.0,3.48,3.7055555555555557,-1
8417.0,8695.0,-1.0,-1.0,-1.0,-1,961.0,3.0700000000000003,3.226666666666667,-1
8421.0,8467.0,-1.0,-1.0,-1.0,-1,1216.0,3.43,3.717777777777778,-1
8421.0,8566.0,-1.0,-1.0,-1.0,-1,886.0,2.8533333333333335,3.5822222222222226,-1
8421.0,8610.0,-1.0,-1.0,-1.0,-1,838.0,3.25,3.380000000000001,-1
8421.0,8632.0,-1.0,-1.0,-1.0,-1,928.0,2.606666666666667,3.434444444444445,-1
8438.0,8517.0,40.0,4.878549924851741,5.370776008385699,-1,-1.0,-1.0,-1.0,-1
8438.0,8605.0,244.0,4.3033662503060075,4.396179027636432,-1,-1.0,-1.0,-1.0,-1
8467.0,8546.0,-1.0,-1.0,-1.0,-1,772.0,1.6700000000000002,2.342222222222222,-1
8467.0,8566.0,-1.0,-1.0,-1.0,-1,922.0,2.7733333333333334,3.315555555555555,-1
8467.0,8610.0,-1.0,-1.0,-1.0,-1,922.0,2.7733333333333334,3.2222222222222223,-1
8467.0,8695.0,-1.0,-1.0,-1.0,-1,955.0,2.986666666666667,3.4011111111111116,-1
8486.0,8504.0,-1.0,-1.0,-1.0,-1,700.0,4.0,4.0,-1
8488.0,8524.0,112.0,4.954277340320461,5.146818570743846,-1,-1.0,-1.0,-1.0,-1
8488.0,8571.0,118.0,2.263946873668279,2.442823266789405,-1,112.0,1.5,2.0055555555555555,-1
8488.0,8527.0,142.0,2.769312931604371,2.916224214492729,-1,271.0,2.4833333333333334,2.842222222222222,-1
8491.0,8537.0,-1.0,-1.0,-1.0,-1,1144.0,2.7700000000000005,3.204444444444445,-1
8491.0,8532.0,-1.0,-1.0,-1.0,-1,922.0,2.8466666666666667,3.488888888888889,-1
8491.0,8637.0,-1.0,-1.0,-1.0,-1,946.0,2.9033333333333338,3.215555555555556,-1
8493.0,8572.0,-1.0,-1.0,-1.0,-1,721.0,3.4100000000000006,3.636666666666667,-1
8495.0,8515.0,-1.0,-1.0,-1.0,-1,928.0,2.6433333333333335,3.4755555555555557,-1
8495.0,8554.0,-1.0,-1.0,-1.0,-1,1048.0,3.5733333333333333,3.741111111111111,-1
8495.0,8594.0,-1.0,-1.0,-1.0,-1,829.0,2.966666666666667,3.4488888888888884,-1
8496.0,8527.0,223.0,2.6386262447313036,2.798709136953951,-1,160.0,2.4833333333333334,3.054444444444444,-1
8496.0,8575.0,16.0,2.938660772818237,3.4499057459273903,-1,16.0,1.5733333333333335,2.2711111111111113,-1
8498.0,8515.0,-1.0,-1.0,-1.0,-1,802.0,2.7433333333333336,2.974444444444445,-1
8498.0,8554.0,-1.0,-1.0,-1.0,-1,970.0,3.2800000000000002,3.7033333333333336,-1
8498.0,8590.0,-1.0,-1.0,-1.0,-1,886.0,3.6033333333333335,3.856666666666667,-1
8499.0,8509.0,-1.0,-1.0,-1.0,-1,1378.0,2.816666666666667,3.111111111111111,-1
8501.0,8546.0,-1.0,-1.0,-1.0,-1,808.0,3.386666666666667,3.795555555555556,-1
8501.0,8610.0,-1.0,-1.0,-1.0,-1,793.0,2.436666666666667,2.538888888888889,-1
8501.0,8695.0,1021.0,2.9376726346753217,2.955694694731166,-1,973.0,2.9833333333333334,3.1144444444444446,-1
8503.0,8540.0,-1.0,-1.0,-1.0,-1,1348.0,2.486666666666667,3.111111111111111,-1
8507.0,8600.0,-1.0,-1.0,-1.0,-1,1009.0,2.9600000000000004,3.486666666666667,-1
8507.0,8610.0,-1.0,-1.0,-1.0,-1,916.0,3.6,3.865555555555555,-1
8507.0,8614.0,-1.0,-1.0,-1.0,-1,871.0,2.4233333333333333,2.6966666666666668,-1
8507.0,8630.0,898.0,3.5250590697676234,3.7425483301788427,-1,892.0,1.65,1.8888888888888888,-1
8507.0,8632.0,-1.0,-1.0,-1.0,-1,1381.0,2.7433333333333336,3.437777777777778,-1
8508.0,8524.0,37.0,1.6725482064368207,1.8531142930786093,-1,28.0,2.23,2.485555555555556,-1
8508.0,8595.0,10.0,1.8054978625059532,2.110589021179848,-1,115.0,2.0933333333333333,2.6533333333333338,-1
8509.0,8529.0,-1.0,-1.0,-1.0,-1,937.0,4.0,4.0,-1
8509.0,8542.0,-1.0,-1.0,-1.0,-1,892.0,3.033333333333333,3.447777777777778,-1
8510.0,8570.0,-1.0,-1.0,-1.0,-1,997.0,2.296666666666667,3.0377777777777775,-1
8513.0,8517.0,295.0,1.483661166838363,1.5069397310990318,-1,298.0,1.2133333333333334,1.7800000000000002,-1
8513.0,8544.0,319.0,3.1879961552301324,3.6125407368671025,-1,451.0,1.6633333333333336,2.9155555555555552,-1
8513.0,8633.0,358.0,2.708465243897797,2.999472857649406,-1,52.0,3.2133333333333334,3.6988888888888884,-1
8513.0,8636.0,469.0,2.2465272706044814,2.4818542540923323,-1,598.0,1.23,1.56,-1
8513.0,8641.0,505.0,3.3203084657933273,3.3289876302869645,-1,574.0,2.9100000000000006,3.295555555555556,-1
8513.0,8647.0,-1.0,-1.0,-1.0,-1,724.0,1.9933333333333334,2.24,-1
8513.0,8650.0,652.0,3.0884180364404474,3.096691854012356,-1,631.0,3.1166666666666667,3.5411111111111113,-1
8513.0,8653.0,790.0,3.2383423995987712,3.2894247108565446,-1,-1.0,-1.0,-1.0,-1
8513.0,8669.0,778.0,4.575947674869194,4.624716554286303,-1,-1.0,-1.0,-1.0,-1
8515.0,8520.0,-1.0,-1.0,-1.0,-1,757.0,2.33,3.4022222222222225,-1
8515.0,8594.0,-1.0,-1.0,-1.0,-1,1222.0,3.45,3.815555555555555,-1
8517.0,8544.0,421.0,2.263200033608317,2.283770140645837,-1,652.0,1.646666666666667,1.8622222222222224,-1
8517.0,8636.0,-1.0,-1.0,-1.0,-1,46.0,2.006666666666667,2.195555555555556,-1
8518.0,8566.0,-1.0,-1.0,-1.0,-1,1360.0,2.4766666666666666,2.9288888888888893,-1
8518.0,8610.0,-1.0,-1.0,-1.0,-1,916.0,3.5966666666666667,3.865555555555555,-1
8518.0,8632.0,1027.0,3.873001813117154,4.33409340686159,-1,1027.0,2.2766666666666664,2.6677777777777782,-1
8520.0,8594.0,-1.0,-1.0,-1.0,-1,844.0,3.996666666666667,3.9988888888888883,-1
8521.0,8753.0,-1.0,-1.0,-1.0,-1,1366.0,1.23,1.4422222222222225,-1
8524.0,8571.0,-1.0,-1.0,-1.0,-1,193.0,2.6666666666666665,3.3188888888888894,-1
8525.0,8548.0,10.0,3.5589871728553444,3.935049812649568,-1,-1.0,-1.0,-1.0,-1
8525.0,8595.0,-1.0,-1.0,-1.0,-1,10.0,3.2,3.721111111111111,-1
8526.0,8532.0,-1.0,-1.0,-1.0,-1,1015.0,2.7700000000000005,3.5900000000000003,-1
8526.0,8695.0,820.0,3.789419239597382,3.8119940209878918,-1,-1.0,-1.0,-1.0,-1
8526.0,8637.0,-1.0,-1.0,-1.0,-1,952.0,2.05,2.8188888888888894,-1
8527.0,8571.0,-1.0,-1.0,-1.0,-1,67.0,3.2800000000000002,3.524444444444445,-1
8528.0,8557.0,-1.0,-1.0,-1.0,-1,1255.0,3.0600000000000005,3.592222222222222,-1
8528.0,8573.0,-1.0,-1.0,-1.0,-1,994.0,2.4433333333333334,3.4811111111111113,-1
8528.0,8587.0,-1.0,-1.0,-1.0,-1,1054.0,3.076666666666667,3.6666666666666665,-1
8529.0,8582.0,-1.0,-1.0,-1.0,-1,1330.0,2.4633333333333334,2.812222222222222,-1
8532.0,8695.0,835.0,4.696114889832646,4.865835140309513,-1,-1.0,-1.0,-1.0,-1
8532.0,8637.0,-1.0,-1.0,-1.0,-1,946.0,2.26,2.488888888888889,-1
8538.0,8540.0,-1.0,-1.0,-1.0,-1,1423.0,3.99,3.9966666666666666,-1
8538.0,8542.0,-1.0,-1.0,-1.0,-1,1429.0,1.7766666666666668,2.2577777777777777,-1
8540.0,8542.0,-1.0,-1.0,-1.0,-1,1429.0,1.9833333333333334,2.4688888888888894,-1
8541.0,8564.0,-1.0,-1.0,-1.0,-1,1162.0,3.0966666666666667,3.4988888888888883,-1
8541.0,8655.0,-1.0,-1.0,-1.0,-1,1111.0,3.1566666666666667,3.638888888888889,-1
8544.0,8601.0,-1.0,-1.0,-1.0,-1,481.0,3.6233333333333335,3.821111111111111,-1
8544.0,8640.0,-1.0,-1.0,-1.0,-1,514.0,2.47,2.5533333333333337,-1
8544.0,8636.0,55.0,3.5731957637395357,4.543096990096814,-1,46.0,1.6166666666666667,1.7322222222222223,-1
8546.0,8637.0,-1.0,-1.0,-1.0,-1,874.0,2.933333333333333,3.4777777777777774,-1
8546.0,8695.0,-1.0,-1.0,-1.0,-1,955.0,2.0900000000000003,2.4922222222222223,-1
8549.0,8561.0,-1.0,-1.0,-1.0,-1,1183.0,1.7533333333333334,2.856666666666667,-1
8549.0,8594.0,763.0,4.179858908046451,6.2783219750642205,-1,877.0,1.9400000000000002,3.104444444444445,-1
8551.0,8638.0,-1.0,-1.0,-1.0,-1,118.0,3.6033333333333335,3.867777777777778,-1
8554.0,8590.0,-1.0,-1.0,-1.0,-1,784.0,2.4166666666666665,3.4722222222222223,-1
8557.0,8565.0,-1.0,-1.0,-1.0,-1,1087.0,2.87,3.595555555555556,-1
8557.0,8573.0,-1.0,-1.0,-1.0,-1,1006.0,2.7,2.9300000000000006,-1
8561.0,8582.0,-1.0,-1.0,-1.0,-1,823.0,2.4099999999999997,3.3666666666666667,-1
8561.0,8594.0,-1.0,-1.0,-1.0,-1,865.0,3.6533333333333338,3.785555555555556,-1
8564.0,8565.0,1504.0,4.4376847128011745,4.752750050514274,-1,1528.0,1.1566666666666667,1.2500000000000002,-1
8564.0,8593.0,-1.0,-1.0,-1.0,-1,1033.0,3.3666666666666667,3.641111111111111,-1
8565.0,8593.0,-1.0,-1.0,-1.0,-1,1066.0,3.1033333333333335,3.7011111111111115,-1
8565.0,8655.0,-1.0,-1.0,-1.0,-1,1450.0,3.7666666666666666,3.9099999999999997,-1
8566.0,8610.0,937.0,2.8151283484655587,3.829955784178173,-1,934.0,2.5933333333333337,2.926666666666667,-1
8566.0,8632.0,-1.0,-1.0,-1.0,-1,928.0,2.6433333333333335,3.028888888888889,-1
8566.0,8695.0,1012.0,4.824098140580244,4.865240368101209,-1,-1.0,-1.0,-1.0,-1
8568.0,8596.0,-1.0,-1.0,-1.0,-1,1084.0,2.2800000000000002,3.0277777777777777,-1
8568.0,8602.0,1123.0,3.426004233004361,3.913186605304719,-1,1111.0,1.6133333333333335,2.7577777777777777,-1
8568.0,8609.0,-1.0,-1.0,-1.0,-1,1009.0,3.35,3.611111111111111,-1
8568.0,8713.0,-1.0,-1.0,-1.0,-1,1237.0,2.6,3.2644444444444445,-1
8573.0,8587.0,1528.0,4.21231696613142,4.509112175404434,-1,1528.0,1.9633333333333336,2.05,-1
8575.0,8676.0,1030.0,0.8707077530354443,1.0123134555411195,-1,1033.0,0.5833333333333334,1.5033333333333334,-1
8580.0,8600.0,-1.0,-1.0,-1.0,-1,955.0,2.856666666666667,3.2322222222222217,-1
8580.0,8614.0,-1.0,-1.0,-1.0,-1,1453.0,1.7166666666666666,2.031111111111111,-1
8580.0,8630.0,-1.0,-1.0,-1.0,-1,1069.0,2.0533333333333332,2.918888888888889,-1
8584.0,8596.0,-1.0,-1.0,-1.0,-1,973.0,2.79,3.1655555555555552,-1
8584.0,8600.0,-1.0,-1.0,-1.0,-1,955.0,2.35,2.5622222222222226,-1
8584.0,8602.0,-1.0,-1.0,-1.0,-1,1105.0,3.536666666666667,3.704444444444445,-1
8584.0,8713.0,-1.0,-1.0,-1.0,-1,1138.0,2.4633333333333334,3.413333333333334,-1
8596.0,8602.0,-1.0,-1.0,-1.0,-1,1276.0,3.3833333333333333,3.761111111111111,-1
8596.0,8609.0,-1.0,-1.0,-1.0,-1,1528.0,1.4733333333333334,3.0377777777777775,-1
8600.0,8614.0,-1.0,-1.0,-1.0,-1,1006.0,2.64,3.3266666666666667,-1
8600.0,8630.0,1021.0,3.3383125157892626,3.56055519768064,-1,1102.0,2.3133333333333335,3.0222222222222226,-1
8600.0,8713.0,-1.0,-1.0,-1.0,-1,1027.0,1.2233333333333334,1.2666666666666666,-1
8601.0,8633.0,-1.0,-1.0,-1.0,-1,94.0,3.0300000000000002,3.4933333333333336,-1
8601.0,8647.0,226.0,4.685478211548245,9.73382078470871,-1,163.0,3.5966666666666667,3.8211111111111107,-1
8601.0,8641.0,226.0,4.211926611531218,4.38134426104391,-1,127.0,2.3666666666666667,3.1355555555555554,-1
8601.0,8636.0,34.0,1.3315413217153453,2.1160792346234376,-1,103.0,2.186666666666667,2.8433333333333337,-1
8601.0,8640.0,94.0,3.7156740488509716,4.002189898701949,-1,127.0,3.4066666666666667,3.7933333333333334,-1
8602.0,8726.0,-1.0,-1.0,-1.0,-1,1294.0,2.316666666666667,2.7033333333333336,-1
8602.0,8713.0,-1.0,-1.0,-1.0,-1,1108.0,2.5200000000000005,2.781111111111111,-1
8607.0,8610.0,-1.0,-1.0,-1.0,-1,916.0,2.9566666666666666,3.2600000000000002,-1
8607.0,8632.0,-1.0,-1.0,-1.0,-1,916.0,2.386666666666667,3.45,-1
8607.0,8717.0,1066.0,2.863936417003362,4.380378449434659,-1,1138.0,2.4133333333333336,2.5777777777777775,-1
8607.0,8614.0,-1.0,-1.0,-1.0,-1,913.0,2.246666666666667,2.571111111111111,-1
8610.0,8614.0,-1.0,-1.0,-1.0,-1,916.0,2.9033333333333338,3.4077777777777785,-1
8610.0,8632.0,940.0,3.527348189674529,3.749769808218489,-1,922.0,1.59,2.3955555555555557,-1
8614.0,8630.0,-1.0,-1.0,-1.0,-1,892.0,2.033333333333333,2.3233333333333333,-1
8633.0,8636.0,133.0,3.274726379823361,3.6365459883577427,-1,109.0,3.046666666666667,3.424444444444445,-1
8636.0,8640.0,391.0,2.7191216381458845,4.828715014604058,-1,391.0,2.0966666666666667,2.7011111111111115,-1
8636.0,8641.0,490.0,2.4325053851105523,2.5600779549840635,-1,-1.0,-1.0,-1.0,-1
8637.0,8695.0,841.0,4.19026914027657,4.3947878220210175,-1,-1.0,-1.0,-1.0,-1
8640.0,8647.0,-1.0,-1.0,-1.0,-1,166.0,3.0233333333333334,3.361111111111111,-1
8640.0,8641.0,-1.0,-1.0,-1.0,-1,127.0,2.5733333333333333,2.993333333333333,-1
8641.0,8652.0,634.0,1.7205834524301955,1.7631655859009918,-1,595.0,2.7066666666666666,2.9622222222222225,-1
8641.0,8647.0,-1.0,-1.0,-1.0,-1,262.0,2.693333333333334,3.4200000000000004,-1
8647.0,8650.0,565.0,4.64811258835128,4.84076603012483,-1,-1.0,-1.0,-1.0,-1
8647.0,8652.0,-1.0,-1.0,-1.0,-1,262.0,3.54,3.6988888888888884,-1
8649.0,8654.0,811.0,1.987318425168803,2.011509484602602,-1,277.0,1.4066666666666667,1.8955555555555559,-1
8650.0,8657.0,-1.0,-1.0,-1.0,-1,322.0,3.8533333333333335,3.9511111111111115,-1
8649.0,8676.0,733.0,2.954519898040922,3.139229087594001,-1,-1.0,-1.0,-1.0,-1
8650.0,8652.0,-1.0,-1.0,-1.0,-1,271.0,3.8733333333333335,3.957777777777778,-1
8650.0,8662.0,-1.0,-1.0,-1.0,-1,799.0,3.0833333333333335,3.5588888888888888,-1
8653.0,8657.0,-1.0,-1.0,-1.0,-1,346.0,2.9466666666666668,3.4522222222222227,-1
8653.0,8662.0,511.0,2.720916113740306,2.7425559535197124,-1,466.0,2.356666666666667,2.9200000000000004,-1
8653.0,8669.0,751.0,4.33219078670847,4.373646844514869,-1,841.0,3.286666666666667,3.7622222222222224,-1
8657.0,8662.0,691.0,2.456723866370262,2.7014912772391964,-1,682.0,2.5200000000000005,3.0033333333333334,-1
8654.0,8671.0,-1.0,-1.0,-1.0,-1,421.0,2.936666666666667,3.4566666666666666,-1
8654.0,8660.0,850.0,2.3759033287018627,2.4642357397856154,-1,415.0,2.126666666666667,2.6644444444444444,-1
8658.0,8662.0,-1.0,-1.0,-1.0,-1,394.0,2.24,2.783333333333333,-1
8658.0,8669.0,394.0,2.408267945284837,2.57283657306517,-1,562.0,2.43,2.856666666666667,-1
8660.0,8671.0,901.0,2.564640035159305,2.6212710556745464,-1,880.0,2.2766666666666664,2.611111111111111,-1
